2.00	0
2.00	5
2.00	10
2.00	15
2.00	20
2.00	25
2.00	30
2.00	35
2.00	40
2.00	45
2.00	50
2.00	55
2.00	60
2.00	65
2.00	70
2.00	75
2.00	80
2.00	85
2.00	90
2.00	95
2.00	100
2.00	105
2.00	110
2.00	115
2.00	120
2.00	125
2.00	130
2.00	135
2.00	140
2.00	145
2.00	150
2.00	155
2.00	160
2.00	165
2.00	170
2.00	175
2.00	180
2.10	0
2.10	5
2.10	10
2.10	15
2.10	20
2.10	25
2.10	30
2.10	35
2.10	40
2.10	45
2.10	50
2.10	55
2.10	60
2.10	65
2.10	70
2.10	75
2.10	80
2.10	85
2.10	90
2.10	95
2.10	100
2.10	105
2.10	110
2.10	115
2.10	120
2.10	125
2.10	130
2.10	135
2.10	140
2.10	145
2.10	150
2.10	155
2.10	160
2.10	165
2.10	170
2.10	175
2.10	180
2.20	0
2.20	5
2.20	10
2.20	15
2.20	20
2.20	25
2.20	30
2.20	35
2.20	40
2.20	45
2.20	50
2.20	55
2.20	60
2.20	65
2.20	70
2.20	75
2.20	80
2.20	85
2.20	90
2.20	95
2.20	100
2.20	105
2.20	110
2.20	115
2.20	120
2.20	125
2.20	130
2.20	135
2.20	140
2.20	145
2.20	150
2.20	155
2.20	160
2.20	165
2.20	170
2.20	175
2.20	180
2.30	0
2.30	5
2.30	10
2.30	15
2.30	20
2.30	25
2.30	30
2.30	35
2.30	40
2.30	45
2.30	50
2.30	55
2.30	60
2.30	65
2.30	70
2.30	75
2.30	80
2.30	85
2.30	90
2.30	95
2.30	100
2.30	105
2.30	110
2.30	115
2.30	120
2.30	125
2.30	130
2.30	135
2.30	140
2.30	145
2.30	150
2.30	155
2.30	160
2.30	165
2.30	170
2.30	175
2.30	180
2.40	0
2.40	5
2.40	10
2.40	15
2.40	20
2.40	25
2.40	30
2.40	35
2.40	40
2.40	45
2.40	50
2.40	55
2.40	60
2.40	65
2.40	70
2.40	75
2.40	80
2.40	85
2.40	90
2.40	95
2.40	100
2.40	105
2.40	110
2.40	115
2.40	120
2.40	125
2.40	130
2.40	135
2.40	140
2.40	145
2.40	150
2.40	155
2.40	160
2.40	165
2.40	170
2.40	175
2.40	180
2.50	0
2.50	5
2.50	10
2.50	15
2.50	20
2.50	25
2.50	30
2.50	35
2.50	40
2.50	45
2.50	50
2.50	55
2.50	60
2.50	65
2.50	70
2.50	75
2.50	80
2.50	85
2.50	90
2.50	95
2.50	100
2.50	105
2.50	110
2.50	115
2.50	120
2.50	125
2.50	130
2.50	135
2.50	140
2.50	145
2.50	150
2.50	155
2.50	160
2.50	165
2.50	170
2.50	175
2.50	180
2.60	0
2.60	5
2.60	10
2.60	15
2.60	20
2.60	25
2.60	30
2.60	35
2.60	40
2.60	45
2.60	50
2.60	55
2.60	60
2.60	65
2.60	70
2.60	75
2.60	80
2.60	85
2.60	90
2.60	95
2.60	100
2.60	105
2.60	110
2.60	115
2.60	120
2.60	125
2.60	130
2.60	135
2.60	140
2.60	145
2.60	150
2.60	155
2.60	160
2.60	165
2.60	170
2.60	175
2.60	180
2.70	0
2.70	5
2.70	10
2.70	15
2.70	20
2.70	25
2.70	30
2.70	35
2.70	40
2.70	45
2.70	50
2.70	55
2.70	60
2.70	65
2.70	70
2.70	75
